m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,-0.5,1,0,0.5,0.1,1,1,0.8563448318965612,0.3039539938396928,0.7167461216950359,0.2951438570089446,0.8406087160110474
0.8,0.2,0.5,-0.5,1,0,0.75,0.1,1,1,1.1373847034891502,0.30322916089202523,0.776710484715958,0.2928238641827015,1.1169894337654118
0.8,0.2,0.5,-0.75,-1,0,0.25,0.1,1,1,1.5169798843173978,0.33413543390661754,0.7024268647227266,0.32755905911638383,1.5279842316484982
0.8,0.2,0.5,-0.75,-1,0,0.5,0.1,1,1,2.010569878958161,0.38921104382999017,0.6638972230942176,0.38384131967210167,2.0193271931493655
0.8,0.2,0.5,-0.75,-1,0,0.75,0.1,1,1,2.936630643350047,0.49808784676548495,0.6260893509485584,0.4941782673886825,2.9420470483601098
0.8,0.2,0.5,-0.75,-0.8,0,0.25,0.1,1,1,1.5059504280677454,0.3285743252348489,0.7169881946291898,0.32165177262751415,1.5166042558848858
0.8,0.2,0.5,-0.75,-0.8,0,0.5,0.1,1,1,2.0221628592964507,0.3842356329992068,0.6810708090545847,0.3785265534544275,2.0305143296718597
0.8,0.2,0.5,-0.75,-0.8,0,0.75,0.1,1,1,2.953381683213591,0.49512847959018536,0.6454322543921189,0.490939830321238,2.9588208794633726
0.8,0.2,0.5,-0.75,-0.6,0,0.25,0.1,1,1,1.4777708892619215,0.3219794185537337,0.7336378253899133,0.3146440171667337,1.4877298399806023
0.8,0.2,0.5,-0.75,-0.6,0,0.5,0.1,1,1,2.02433221404508,0.3774380832691164,0.7014263846764032,0.37130051443078044,2.0319832861423492
0.8,0.2,0.5,-0.75,-0.6,0,0.75,0.1,1,1,2.9681409415366935,0.4902995235370325,0.6694538020715846,0.48573752767498013,2.973342092294419
0.8,0.2,0.5,-0.75,-0.3999999999999999,0,0.25,0.1,1,1,1.4204917030219004,0.31444475991130233,0.7520554048570081,0.3066312184205596,1.429069548384509
0.8,0.2,0.5,-0.75,-0.3999999999999999,0,0.5,0.1,1,1,2.00792514578593,0.36815688993561874,0.7254944242376342,0.3614732765040782,2.014347873685737
0.8,0.2,0.5,-0.75,-0.3999999999999999,0,0.75,0.1,1,1,2.9736855717420405,0.4824538058962307,0.6994544535011846,0.4773793919671364,2.9782126303762197
0.8,0.2,0.5,-0.75,-0.19999999999999996,0,0.25,0.1,1,1,1.314682468707456,0.30665382826133963,0.7704640504167763,0.2983387441811582,1.320441223680973
0.8,0.2,0.5,-0.75,-0.19999999999999996,0,0.5,0.1,1,1,1.9564239040058695,0.35565708081244807,0.753329167229791,0.3482831024875623,1.960613135248423
0.8,0.2,0.5,-0.75,-0.19999999999999996,0,0.75,0.1,1,1,2.954576371039706,0.46973815513513667,0.7369677026024349,0.4639410267862296,2.9576349883455517
0.8,0.2,0.5,-0.75,0,0,0.25,0.1,1,1,1.1359969191097323,0.3006674570810891,0.7831078793202295,0.2919880679382924,1.135996919125318
0.8,0.2,0.5,-0.75,0,0,0.5,0.1,1,1,1.842015756113624,0.3396009917874982,0.7831078341780479,0.33140480523815025,1.8420157432556157
0.8,0.2,0.5,-0.75,0,0,0.75,0.1,1,1,2.8788896139723894,0.44933293327056284,0.7831079591069655,0.4424986256029712,2.8788896203045855
0.8,0.2,0.5,-0.75,0.20000000000000018,0,0.25,0.1,1,1,0.8937044344648043,0.30020136772376393,0.7778260248242918,0.29164371383694004,0.884471863508382
0.8,0.2,0.5,-0.75,0.20000000000000018,0,0.5,0.1,1,1,1.6308249199727531,0.32149805323304503,0.8076362705535599,0.3125187383418721,1.6233972460031514
0.8,0.2,0.5,-0.75,0.20000000000000018,0,0.75,0.1,1,1,2.686188361385348,0.41793437720893045,0.8355572799387607,0.4096615776475349,2.6798179671168327
0.8,0.2,0.5,-0.75,0.40000000000000013,0,0.25,0.1,1,1,0.701858987232642,0.30634021796613997,0.7518072275215797,0.2984530074720153,0.6873494051396847
0.8,0.2,0.5,-0.75,0.40000000000000013,0,0.5,0.1,1,1,1.335472809695192,0.3065734646951881,0.8124146793150552,0.2972954315914653,1.319207407534122
0.8,0.2,0.5,-0.75,0.40000000000000013,0,0.75,0.1,1,1,2.299564795322219,0.3758066168820333,0.8790842887489289,0.36594778870389866,2.281698778271675
0.8,0.2,0.5,-0.75,0.6000000000000001,0,0.25,0.1,1,1,0.6213908836069046,0.31451064343814117,0.7243111428337384,0.307306941146892,0.6073645688593388
0.8,0.2,0.5,-0.75,0.6000000000000001,0,0.5,0.1,1,1,1.0771731813809287,0.30000835913002044,0.793971260380545,0.29109826757253443,1.0580222755664237
0.8,0.2,0.5,-0.75,0.6000000000000001,0,0.75,0.1,1,1,1.7700735477687166,0.3353657800893446,0.8824269959761101,0.32481179591059595,1.7426772937178607
0.8,0.2,0.5,-0.75,0.8,0,0.25,0.1,1,1,0.5987072041465495,0.32168482928237047,0.7034199709908908,0.31498120986963996,0.5859789028763768
0.8,0.2,0.5,-0.75,0.8,0,0.5,0.1,1,1,0.929126415384433,0.3001122711160619,0.769548064009113,0.2917750702135516,0.9119206853210926
0.8,0.2,0.5,-0.75,0.8,0,0.75,0.1,1,1,1.3583614068538987,0.31165463436871665,0.8499851888103942,0.301570067837666,1.3331246972084045
0.8,0.2,0.5,-0.75,1,0,0.25,0.1,1,1,0.5978401569852742,0.32745072639182904,0.6878601227794222,0.321107815694339,0.5861204564571381
0.8,0.2,0.5,-0.75,1,0,0.5,0.1,1,1,0.8554638221511306,0.30298437924725846,0.7488517746468742,0.2951438570089446,0.8406087160110474
0.8,0.2,0.5,-0.75,1,0,0.75,0.1,1,1,1.137028316116482,0.30220119845009347,0.8158647801423837,0.2928238641827015,1.1169894337654118
0.8,0.2,0.5,-1,-1,0,0.25,0.1,1,1,1.5220492125376885,0.332784422490706,0.7181433496854155,0.32755905911638383,1.5279842316484982
0.8,0.2,0.5,-1,-1,0,0.5,0.1,1,1,2.014678475030006,0.3882780784977301,0.6921813619355545,0.38384131967210167,2.0193271931493655
0.8,0.2,0.5,-1,-1,0,0.75,0.1,1,1,2.9391821668033464,0.49755624197773185,0.6674519111445986,0.4941782673886825,2.9420470483601098
0.8,0.2,0.5,-1,-0.8,0,0.25,0.1,1,1,1.5108027844179903,0.32708056752901193,0.7283529026237691,0.32165177262751415,1.5166042558848858
