m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.8,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9078186370927995,0.9992141472163126,7.068952366346354,0.999205406579225,0.9092275619506831
0.8,0.8,0.06,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9065106919756314,0.9992145387347459,6.754355098688731,0.9992066027117579,0.9052910804748535
0.8,0.8,0.16,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9090612298626274,0.9999999947949595,5.427615481937148,0.9999999942881814,0.9141845703125007
0.8,0.8,0.16,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9056063053564732,0.9999999948130502,5.132583645434907,0.9999999943634214,0.9012207031249995
0.8,0.8,0.16,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9103294227389991,0.9999999946416084,4.891617138993197,0.9999999942881814,0.9141845703125007
0.8,0.8,0.16,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9044500181464146,0.9999999946733911,4.616603698744614,0.9999999943634214,0.9012207031249995
0.8,0.8,0.16,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9115325681006768,0.999999994498787,4.687221534230139,0.9999999942881814,0.9141845703125007
0.8,0.8,0.16,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9034015219880434,0.999999994544273,4.39566251284887,0.9999999943634214,0.9012207031249995
0.8,0.8,0.26,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9073886251555513,0.999999999999963,3.848582586579884,0.9999999999999563,0.9218750000000014
0.8,0.8,0.26,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8945801199868675,0.9999999999999634,3.206915280275476,0.9999999999999578,0.8937500000000008
0.8,0.8,0.26,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9278461376564506,0.9999999999999613,3.5144098747250103,0.9999999999999563,0.9218750000000014
0.8,0.8,0.26,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8963889752136615,0.9999999999999618,2.69003596755959,0.9999999999999578,0.8937500000000008
0.8,0.8,0.26,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9055906181233169,0.9999999999999594,2.8250561312837505,0.9999999999999563,0.9218750000000014
0.8,0.8,0.26,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9029022191878485,0.9999999999999603,2.3058208576531696,0.9999999999999578,0.8937500000000008
0.8,0.8,0.36000000000000004,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.36441227358693007,0.9999999999999999,2.1950658859640355,1,0.42500000000000016
0.8,0.8,0.36000000000000004,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3456682696063263,0.9999999999999999,1.9705690136015048,1,0.3968750000000001
0.8,0.8,0.36000000000000004,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.36606394680089904,0.9999999999999999,2.1226189338548753,1,0.42500000000000016
0.8,0.8,0.36000000000000004,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.34795292496726304,0.9999999999999999,2.081800880291626,1,0.3968750000000001
0.8,0.8,0.36000000000000004,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3656455318998026,0.9999999999999999,2.2062594887119573,1,0.42500000000000016
0.8,0.8,0.36000000000000004,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3481465270398854,0.9999999999999999,2.026452511381186,1,0.3968750000000001
0.8,0.8,0.46,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1969054466041978,0.9999999999999999,1.394649046478494,0.9999999999999999,0.19999999999999996
0.8,0.8,0.46,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.18124653552924,1,1.3183863234067714,0.9999999999999999,0.16249999999999998
